0001h;Frequency source;F001 (high);R/W;0 to 40000 (valid when A001 = 03);0.01 [Hz];
0002h;Frequency source;F001 (low);R/W;0 to 40000 (valid when A001 = 03);0.01 [Hz];
0003h;Inverter status A;–;R;"0: Initial status 2: Stopping 3: Running 4: Free-run stop 5: Jogging 
6: DC braking 7: Retrying 8: Tripping 9: Undervoltage (UV),";–;
0004h;Inverter status B;–;R;0: Stopping, 1: Running, 2: Tripping;–;
0005h;Inverter status C;–;R;"0: – 
1: Stopping 
2: Decelerating 
3: Constant-speed opera- tion 
4: Accelerating 5: Forward rotation 
6: Reverse rotation 
7: Switching from fwd. to rev. rotation, 
8: Switching from rev. to fwd. rotation, 
9: Starting fwd. 10: Starting rev.";–;
0006h;PID feedback;–;R/W;0 to 10000;0.01 [%];
0011h;Trip Counter;d080;R;0 to 65530;1 [time];
0012h;Trip info. 1 (factor);d081;R;See the list of inverter trip factors below;–;
0013h;Trip info. 1 (inverter status);d081;R;See the list of inverter trip factors below;–;
0014h;Trip info. 1 (frequency) (high);d081;R;0 to 100000;0.01[Hz];
0015h;Trip info. 1 (frequency (low);d081;R;0 to 100000;0.01[Hz];
0016h;Trip info. 1 (current);d081;R;Output current at tripping;0.01[A];
0017h;Trip info. 1 (voltage);d081;R;DC input voltage at tripping;1[V];
0018h;Trip info. 1 (running time) (high);d081;R;Cumulative running time at tripping;1[h];
0019h;Trip info. 1 (running time) (low);d081;R;Cumulative running time at tripping;1[h];
001Ah;Trip info. 1 (power-on time) (high);d081;R;Cumulative power-on time at tripping;1[h];
001Bh;Trip info. 1 (power-on time) (low);d081;R;Cumulative running time at tripping;1[h];
001Ch;Trip info. 2 (factor);d082;R;See the list of inverter trip factors below;–;
001Dh;Trip info. 2 (inverter status);d082;R;See the list of inverter trip factors below;–;
001Eh;Trip info. 2 (frequency) (high);d082;R;0 to 100000;0.01[Hz];
001Fh;Trip info. 2 (frequency (low);d082;R;0 to 100000;0.01[Hz];
0020h;Trip info. 2 (current);d082;R;Output current at tripping;0.01[A];
0021h;Trip info. 2 (voltage);d082;R;DC input voltage at tripping;1[V];
0022h;Trip info. 2 (running time) (high);d082;R;Cumulative running time at tripping;1[h];
0023h;Trip info. 2 (running time) (low);d082;R;Cumulative running time at tripping;1[h];
0024h;Trip info. 2 (power-on time) (high);d082;R;Cumulative power-on time at tripping;1[h];
0025h;Trip info. 2 (power-on time) (low);d082;R;Cumulative running time at tripping;1[h];
0026h;Trip info. 3 (factor);d083;R;See the list of inverter trip factors below;–;
0027h;Trip info. 3 (inverter status);d083;R;See the list of inverter trip factors below;–;
0028h;Trip info. 3 (frequency) (high);d083;R;0 to 100000;0.01[Hz];
0029h;Trip info. 3 (frequency (low);d083;R;0 to 100000;0.01[Hz];
002Ah;Trip info. 3 (current);d083;R;Output current at tripping;0.01[A];
002Bh;Trip info. 3 (voltage);d083;R;DC input voltage at tripping;1[V];
002Ch;Trip info. 3 (running time) (high);d083;R;Cumulative running time at tripping;1[h];
002Dh;Trip info. 3 (running time) (low);d083;R;Cumulative running time at tripping;1[h];
002Eh;Trip info. 3 (power-on time) (high);d083;R;Cumulative power-on time at tripping;1[h];
002Fh;Trip info. 3 (power-on time) (low);d083;R;Cumulative running time at tripping;1[h];
0030h;Trip info. 4 (factor);d084;R;See the list of inverter trip factors below;–;
0031h;Trip info. 4 (inverter status);d084;R;See the list of inverter trip factors below;–;
0032h;Trip info. 4 (frequency) (high);d084;R;0 to 100000;0.01[Hz];
0033h;Trip info. 4 (frequency (low);d084;R;0 to 100000;0.01[Hz];
0034h;Trip info. 4 (current);d084;R;Output current at tripping;0.01[A];
0035h;Trip info. 4 (voltage);d084;R;DC input voltage at tripping;1[V];
0036h;Trip info. 4 (running time) (high);d084;R;Cumulative running time at tripping;1[h];
0037h;Trip info. 4 (running time) (low);d084;R;Cumulative running time at tripping;1[h];
0038h;Trip info. 4 (power-on time) (high);d084;R;Cumulative power-on time at tripping;1[h];
0039h;Trip info. 4 (power-on time) (low);d084;R;Cumulative running time at tripping;1[h];
003Ah;Trip info. 5 (factor);d085;R;See the list of inverter trip factors below;–;
003Bh;Trip info. 5 (inverter status);d085;R;See the list of inverter trip factors below;–;
003Ch;Trip info. 5 (frequency) (high);d085;R;0 to 100000;0.01[Hz];
003Dh;Trip info. 5 (frequency (low);d085;R;0 to 100000;0.01[Hz];
003Eh;Trip info. 5 (current);d085;R;Output current at tripping;0.01[A];
003Fh;Trip info. 5 (voltage);d085;R;DC input voltage at tripping;1[V];
0040h;Trip info. 5 (running time) (high);d085;R;Cumulative running time at tripping;1[h];
0041h;Trip info. 5 (running time) (low);d085;R;Cumulative running time at tripping;1[h];
0042h;Trip info. 5 (power-on time) (high);d085;R;Cumulative power-on time at tripping;1[h];
0043h;Trip info. 5 (power-on time) (low);d085;R;Cumulative running time at tripping;1[h];
0044h;Trip info. 6 (factor);d086;R;See the list of inverter trip factors below;–;
0045h;Trip info. 6 (inverter status);d086;R;See the list of inverter trip factors below;–;
0046h;Trip info. 6 (frequency) (high);d086;R;0 to 100000;0.01[Hz];
0047h;Trip info. 6 (frequency (low);d086;R;0 to 100000;0.01[Hz];
0048h;Trip info. 6 (current);d086;R;Output current at tripping;0.01[A];
0049h;Trip info. 6 (voltage);d086;R;DC input voltage at tripping;1[V];
004Ah;Trip info. 6 (running time) (high);d086;R;Cumulative running time at tripping;1[h];
004Bh;Trip info. 6 (running time) (low);d086;R;Cumulative running time at tripping;1[h];
004Ch;Trip info. 6 (power-on time) (high);d086;R;Cumulative power-on time at tripping;1[h];
004Eh;Programming error monitoring;d090;R;Warning code;–;
006Dh to 08Efh;(reserved);–;–;–;–;
0900h;Writing to EEPROM;–;W;"0: Motor constant recalculation 1: Save all data in EEPROM 
Other: Motor constant recalculation and save all data in EEPROM";–;
0902h;EEPROM write mode;–;W;0 (invalid) / 1 (valid);;
1001h;Output frequency monitor;d001 (high);R;0 to 40000(100000);0.01 [Hz];
1002h;Output frequency monitor;d001 (low);R;0 to 40000(100000);0.01 [Hz];
1003h;Output current monitor;d002;R;0 to 65530;0.01 [A];
1004h;Rotation direction minitoring;d003;R;0: Stopping, 1: Forward rotation, 2: Reverse rotation;0.1 [Hz];
1005h;Process variable (PV), PID feed- back monitoring;d004 (high);R;0 to 1000000;0.1;
1006h;;d004 (low);R;0 to 1000000;0.1;
1007h;Intelligent input terminal status;d005;R;2^0: Terminal 1 to 2^6: Terminal 7;1 bit;
1008h;Intelligent output terminal status;d006;R;2^0: Terminal 11 to 2^1: Terminal 12/ 2^2: Relay Terminal;1 bit;
1009h;Scaled output frequency monitor;d007 (high);R;0 to 4000000(10000000);0.01;
100Ah;Scaled output frequency monitor;d007 (low);R;0 to 4000000(10000000);0.01;
100Bh;Actual-frequency monitor;d008 (high);R;-100000 to +100000;0.01 [Hz];
100Ch;Actual-frequency monitor;d008 (low);R;-100000 to +100000;0.01 [Hz];
100Dh;Torque command monitor;d009;R;-200 to +200;1 [%];
100Eh;Torque bias monitor;d010;R;-200 to +200;1 [%];
1010h;Torque monitor;d012;R;-200 to +200;1 [%];
1011h;Output voltage monitor;d013;R;0 to 6000;0.1 [V];
1012h;Power monitor;d014;R;0 to 1000;0.1 [kW];
1013h;Watt-hour monitor;d015 (high);R;0 to 9999000;0.1;
1014h;Watt-hour monitor;d015 (low);R;0 to 9999000;0.1;
1015h;Elapsed RUN time monitor;d016 (high);R;0 to 999900;1 [h];
1016h;Elapsed RUN time monitor;d016 (low);R;0 to 999900;1 [h];
1017h;Elapsed power-on time monitor;d017 (high);R;0 to 999900;1 [h];
1018h;Elapsed power-on time monitor;d017 (low);R;0 to 999900;1 [h];
1019h;Heat sink temperature monitor;d018;R;-200 to 1500;0.1 [?];
101Dh;Life-check monitor;d022;R;2^0: Capacitor on main circuit board 2^1: cooling-fan;1 bit;
101Eh;EzSQ program counter;d023;R;0~1024;;
101Fh;EzSQ program number;d024;R;0~9999;;
1026h;DC voltage monitoring (across P and N);d102;R;0 to 10000;0.1 [V];
1027h;BRD load factor monitoring;d103;R;0 to 1000;0.1 [%];
1028h;Electronic thermal overload monitoring;d104;R;0 to 1000;0.1 [%];
102Eh;User monitor 1;d025(HIGH);R;-2147483647 to 2147483647;1;
102Fh;User monitor 1;d025(LOW);R;-2147483647 to 2147483647;1;
1030h;User monitor 2;d026(HIGH);R;-2147483647 to 2147483647;1;
1031h;User monitor 2;d026(LOW);R;-2147483647 to 2147483647;1;
1032h;User monitor 3;d027(HIGH);R;-2147483647 to 2147483647;1;
1033h;User monitor 3;d027(LOW);R;-2147483647 to 2147483647;1;
1036h;Position setting monitor;d029(HIGH);R;-268435455 to 268435455;1;
1037h;Position setting monitor;d029(LOW);R;-268435455 to 268435455;1;
1038h;Position feedback monitor;d030(HIGH);R;-268435455 to 268435455;1;
1039h;Position feedback monitor;d030(LOW);R;-268435455 to 268435455;1;
1057h;Inverter mode monitor;d60;R;0 (IM CT) 2(IM High Freq mode) 1(IM VT);;
1103h;Acceleration time (1);F002 (high);R/W;1 to 360000;0.01 [sec.];
1104h;Acceleration time (1);F002 (low);R/W;1 to 360000;0.01 [sec.];
1105h;Deceleration time (1);F003 (high);R/W;1 to 360000;0.01 [sec.];
1106h;Deceleration time (1);F003 (low);R/W;1 to 360000;0.01 [sec.];
1107h;Keypad Run key routing;F004;R/W;0 (forward rotation), 1 (reverse rotation);–;
1201h;Frequency source;A001;R/W;"0 (keypad potentiometer), 1 (control circuit terminal block), 2 (digital opera- tor), 3 (Modbus), 4 (option ), 6 (pulse train input), 7 (easy sequence), 
10 (operation function result)";–;
1202h;Run command source (*);A002;R/W;1 (control circuit terminal block), 2 (digi- tal operator), 3 (Modbus), 4 (option);–;
1203h;Base frequency;A003;R/W;"300 to ""maximum frequency""";0.1 [Hz];
1204h;Maximum frequency;A004;R/W;300 to 4000 (10000);0.1 [Hz];
1205h;[AT] selection;A005;R/W;0 (switching between O and OI termi- nals), 2 (switching between O terminal and keypad potentiometer), 3 (switching between OI terminal and keypad poten- tiometer);–;
1206h to 120Ah;(Reserved);–;–;–;–;
120Bh;[O] input active range start fre- quency;A011 (high);R/W;0 to 40000(100000);0.01 [Hz];
120Ch;;A011 (low);;;;
120Dh;[O] input active range end fre- quency;A012 (high);R/W;0 to 40000(100000);0.01 [Hz];
120Eh;;A012 (low);;;;
120Fh;[O] input active range start volt- age;A013;R/W;"0 to ""[O]-[L] input active range end voltage""";1 [%];
1210h;[O] input active range end volt- age;A014;R/W;"""[O]-[L] input active range start voltage"" to 100";1 [%];
1211h;[O] input start frequency select;A015;R/W;0 (external start frequency), 1 (0 Hz);–;
1212h;Analog input filter.;A016;R/W;1 to 30 or 31 (500 ms filter ±0.1 Hz with hysteresis);1;
1213h;EzSQ selection;A017;R/W;0 (disabling), 1 (PRG terminal) , 2 (Always);–;
1214h;(Reserved);–;–;–;–;
1215h;Multi speed operation selection;A019;R/W;0 (binary), 1 (bit);–;
1216h;Multi-speed freq. 0;A020 (high);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
1217h;Multi-speed freq. 0;A020 (low);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
1218h;Multi-speed freq. 1;A021 (high);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
1219h;Multi-speed freq. 1;A021 (low);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
121Ah;Multi-speed freq. 2;A022 (high);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
121Bh;Multi-speed freq. 2;A022 (low);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
121Ch;Multi-speed freq. 3;A023 (high);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
121Dh;Multi-speed freq. 3;A023 (low);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
121Eh;Multi-speed freq. 4;A024 (high);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
121Fh;Multi-speed freq. 4;A024 (low);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
1220h;Multi-speed freq. 5;A025 (high);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
1221h;Multi-speed freq. 5;A025 (low);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
1222h;Multi-speed freq. 6;A026 (high);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
1223h;Multi-speed freq. 6;A026 (low);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
1224h;Multi-speed freq. 7;A027 (high);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
1226h;Multi-speed freq. 8;A028 (high);R/W;"0 or ""start frequency"" to ""maximum frequency""";0.01 [Hz];
